PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
Kristaps Porzingis,DAL,0.042,0.014,0.156,0.094,0.151,0.258,0.018,0.07,2020,5
Kevin Huerter,ATL,0.022,0.291,0.0,0.168,0.0,0.223,0.133,0.025,2020,1
Duncun Robinson,MIA,0.0,0.022,0.019,0.11,0.0,0.329,0.235,0.045,2020,0
Serge Ibaka,TOR,0.0,0.0,0.306,0.103,0.067,0.184,0.0,0.146,2020,2
Avery Bradley,LAL,0.0,0.152,0.023,0.215,0.0,0.29,0.113,0.066,2020,1
Jae Crowder,MIA,0.0,0.102,0.0,0.25,0.0,0.28,0.091,0.039,2020,0
Kelly Oubre jr.,PHO,0.031,0.151,0.0,0.225,0.0,0.261,0.094,0.092,2020,1
Gary Trent jr.,POR,0.062,0.141,0.0,0.216,0.0,0.38,0.068,0.0,2020,0
Clint Capela,ATL,0.0,0.0,0.17,0.164,0.032,0.0,0.0,0.381,2020,2
Jerami Grant,DEN,0.04,0.033,0.11,0.11,0.078,0.353,0.04,0.123,2020,5
Zion Williamson,NOP,0.048,0.0,0.1,0.168,0.202,0.104,0.024,0.18,2020,3
Nikola Vucevic,ORL,0.0,0.0,0.271,0.073,0.198,0.16,0.0,0.134,2020,3
Josh Hart,NOP,0.0,0.052,0.0,0.322,0.0,0.424,0.04,0.015,2020,0
Davis Bertans,WAS,0.0,0.31,0.055,0.231,0.0,0.314,0.067,0.048,2020,1
D.J. Augustin,ORL,0.061,0.538,0.0,0.105,0.0,0.141,0.056,0.016,2020,4
Josh Richardson,PHI,0.032,0.303,0.0,0.12,0.0,0.225,0.118,0.029,2020,1
Tyler Herro,MIA,0.034,0.303,0.0,0.12,0.0,0.174,0.161,0.034,2020,1
Rajon Rondo,LAL,0.091,0.416,0.0,0.182,0.0,0.182,0.0,0.0,2020,4
Victor Oladipo,IND,0.094,0.425,0.0,0.175,0.0,0.109,0.069,0.0,2020,4
Jarrett Culver,MIN,0.061,0.208,0.0,0.161,0.0,0.247,0.103,0.066,2020,1
Reggie Jackson,LAC,0.068,0.462,0.0,0.136,0.0,0.242,0.059,0.0,2020,4
Patrick Beverly,LAC,0.056,0.204,0.0,0.12,0.0,0.441,0.0,0.0,2020,0
Draymond Green,GSW,0.031,0.084,0.084,0.149,0.089,0.311,0.022,0.073,2020,5
